['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 120518), 'Duration (s)', 0.038862]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 159380), 'Duration (s)', 0.052349]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 217649), 'Duration (s)', 0.03939]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 257039), 'Duration (s)', 0.049918]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 314309), 'Duration (s)', 0.036783]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 351092), 'Duration (s)', 0.051093]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 410165), 'Duration (s)', 0.05896]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 469125), 'Duration (s)', 0.047464]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 521613), 'Duration (s)', 0.05149]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 573103), 'Duration (s)', 0.05382]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 631949), 'Duration (s)', 0.030012]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 661961), 'Duration (s)', 0.051596]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 719587), 'Duration (s)', 0.045393]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 764980), 'Duration (s)', 0.050803]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 821970), 'Duration (s)', 0.043189]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 865159), 'Duration (s)', 0.059961]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 932263), 'Duration (s)', 0.029807]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 4, 962070), 'Duration (s)', 0.054688]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 22782), 'Duration (s)', 0.032515]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 55297), 'Duration (s)', 0.051562]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 111874), 'Duration (s)', 0.041289]
