ID;CenterL_X;CenterL_Y;CenterR_X;CenterR_Y;Xrobot;Xcalculated;XIA;DeltaX;DeltaXIA;Yrobot;Ycalculated;YIA;DeltaY;DeltaYIA;Zrobot;Zcalculated;ZIA;DeltaZ;DeltaZIA;Urobot;Ucalculated;UIA;DeltaU;DeltaUIA
354;779;296;597;315;347,699;277,5419281005743;345,56873;70,15707189942572;2,1302744140625123;24,3072;30,811491173617597;23,42163;-6,504291173617595;0,8855691406250017;-96,5512;-150,401708866072;-61,01504;53,850508866072005;0,4638413513183579;29,8498;34,393952601962454;31,288422;-4,544152601962455;-1,4386216308593767
285;930;363;699;376;460,193;411,4661207189972;459,58478;48,726879281002766;0,6082221679687336;81,7328;92,82219238809061;82,24397;-11,089392388090616;-0,511172778320315;-145,983;-196,16814039885395;-110,61018;50,185140398853946;0,6271837158203084;-44,7436;-43,39140465919183;-43,989105;-1,3521953408081728;-0,7544947753906257
20;726;360;538;379;368,573;311,1043139023367;366,10938;57,468686097663294;2,463624999999979;-17,3419;-9,424740122405211;-18,425562;-7,917159877594788;1,0836619049072276;-140,33100000000002;-194,97402076361482;-103,74136;54,6430207636148;-0,5896364746093781;59,1174;64,22456694338669;58,72924;-5,107166943386687;0,38815958251953475
124;711;382;523;399;375,995;314,4881360670263;375,02826;61,506863932973715;0,9667407226562545;-16,6278;-19,588037968458977;-16,90494;2,9602379684589764;0,27713965148925723;-153,204;-208,82004557611327;-117,04033;55,616045576113265;-0,16367102050780602;25,4443;31,511787258663265;26,375761;-6,067487258663267;-0,9314610321044938
262;608;445;386;465;466,534;420,64182203010955;463,8651;45,89217796989044;2,668887695312492;-79,0851;-84,92195836995684;-80,061676;5,836858369956843;0,9765760253906279;-190,985;-240,90557814215694;-156,1241;49,92057814215693;1,1390997314452989;-25,686;-24,26322533269613;-26,419624;-1,4227746673038695;0,7336243286132813
121;738;391;519;408;452,826;400,9081807348831;450,05966;51,91781926511692;2,766338134765647;-13,0792;-12,03063938905818;-13,580009;-1,04856061094182;0,5008094604492186;-161,364;-211,9719134621133;-124,66545;50,60791346211329;-0,6985489501953168;-20,2295;-19,699012347091024;-20,982088;-0,5304876529089775;0,7525880889892562
325;814;451;616;464;390,997;340,65173259461324;389,88022;50,34526740538678;1,116781494140639;32,0691;42,65078611461074;33,59826;-10,58168611461074;-1,52915897216797;-193,617;-251,74940050603345;-157,97665;58,13240050603346;0,3596540527343848;57,5574;62,8429680531914;57,950108;-5,2855680531913976;-0,3927075744628894
279;666;339;486;359;355,261;288,62872801042397;351,75946;66,63227198957605;3,501539550781274;-47,1149;-47,958442449810846;-48,28279;0,8435424498108475;1,1678911376953138;-125,6167;-180,28502375071244;-89,14711;54,668323750712446;-0,469590014648432;-22,8406;-21,84004394898565;-22,409672;-1,0005560510143496;-0,43092821655273283
237;903;278;675;295;449,927;401,1005177249252;448,991;48,826482275074795;0,9360026855468959;71,8286;80,91208843312269;70,5143;-9,083488433122696;1,314302514648432;-100,751;-148,3408478009697;-64,56081;47,58984780096969;-0,19019372558594227;-49,2297;-48,433118884403136;-48,06082;-0,7965811155968652;-1,1688784667968761
41;662;413;498;431;305,719;233,71150673414138;307,37735;72,00749326585861;-1,658349853515631;-45,7196;-48,64458405235749;-45,3612;2,9249840523574875;-0,35840157470703105;-171,631;-234,05587188591744;-134,5246;62,42487188591744;-1,1064028320312502;29,6667;36,487102020036986;30,34212;-6,820402020036987;-0,6754192169189466
